chr	gene	lof	Dmis	Tmis	syn
10	A1CF	3.89954925e-06	1.099817e-06	1.5858302e-05	7.031111e-06
10	ABCC2	6.98155025e-06	2.1032377e-05	2.0224272e-05	1.725152e-05
10	ABI1	2.69662075e-06	6.712038e-06	7.31911e-06	5.48011e-06
10	ABLIM1	4.7877255e-06	6.321814e-06	2.3908341e-05	1.2047648e-05
10	ABRAXAS2	2.0691095e-06	7.40892857142857e-12	1.222619e-05	5.828581e-06
10	ACADSB	1.81531575e-06	8.744476e-06	2.301889e-06	4.834414e-06
10	ACBD5	2.58117375e-06	3.502184e-06	1.1536123e-05	6.556572e-06
10	ACBD7	4.2737625e-07	7.40892857142857e-12	2.390657e-06	1.292617e-06
10	ACSL5	3.1849175e-06	2.400794e-06	1.7811563e-05	9.256331e-06
10	ACSM6	1.9655315e-06	3.1165e-08	1.2659743e-05	4.877913e-06
10	ACTA2	1.620869e-06	1.2814971e-05	1.23229999999999e-07	5.206794e-06
10	ACTR1A	2.74712625e-06	1.0012904e-05	3.170954e-06	5.82054e-06
10	ADAM12	4.4956315e-06	5.821507e-06	2.5392775e-05	1.4277259e-05
10	ADAM8	4.475642e-06	7.40892857142857e-12	3.9184623e-05	1.3978941e-05
10	ADAMTS14	6.2878895e-06	1.0179865e-05	3.628625e-05	2.0325213e-05
10	ADARB2	2.62039825e-06	1.685603e-05	2.304305e-05	2.2227381e-05
10	ADD3	3.5741615e-06	3.8479e-07	1.7965825e-05	7.002831e-06
10	ADGRA1	1.9505155e-06	5.94886e-07	2.6251902e-05	1.5849108e-05
10	ADIRF	3.420935e-07	7.40892857142857e-12	2.334324e-06	1.366838e-06
10	ADK	1.44853425e-06	5.0753e-06	3.951308e-06	3.757782e-06
10	ADO	1.19404525e-06	8.13822e-07	1.4306839e-05	8.5842e-06
10	ADRA2A	1.33105425e-06	3.400489e-06	2.6380159e-05	1.737387e-05
10	ADRB1	1.20209125e-06	3.593187e-06	2.7402465e-05	1.8734185e-05
10	AFAP1L2	3.9789425e-06	8.52325e-07	2.8873699e-05	1.4661762e-05
10	AGAP11	2.3747785e-06	7.40892857142857e-12	1.8517458e-05	8.517642e-06
10	AGAP4	2.9428875e-06	9.5556e-07	2.1645465e-05	9.612664e-06
10	AGAP5	2.7842695e-06	5.8495e-07	2.1956628e-05	1.0052114e-05
10	AGAP6	2.7765235e-06	1.6733e-07	2.2125896e-05	9.929002e-06
10	AGAP9	4.9571615e-06	7.40892857142857e-12	4.1842607e-05	1.7248065e-05
10	AIFM2	1.44711425e-06	1.15427e-06	1.2870814e-05	7.01082e-06
10	AKR1C1	2.2923555e-06	4.02485e-07	8.418417e-06	3.497742e-06
10	AKR1C2	2.3136925e-06	4.91495e-07	8.462978e-06	3.723412e-06
10	AKR1C3	2.53384625e-06	2.7375e-07	9.68146e-06	3.869228e-06
10	AKR1C4	1.8318515e-06	5.19942e-07	8.000516e-06	3.163426e-06
10	AKR1E2	1.725411e-06	8.13433e-07	8.595801e-06	4.181764e-06
10	ALDH18A1	4.13080675e-06	1.1905652e-05	1.3562412e-05	9.99315e-06
10	ALOX5	4.04152075e-06	1.302035e-05	1.4657091e-05	1.3647002e-05
10	ANAPC16	4.48287e-07	7.40892857142857e-12	3.174202e-06	1.327595e-06
10	ANK3	1.5907009e-05	1.7824401e-05	0.000105648208	5.3922478e-05
10	ANKRD1	1.75866975e-06	1.07626e-06	8.46537e-06	4.305614e-06
10	ANKRD16	2.1499155e-06	2.16478e-06	1.1199805e-05	6.462932e-06
10	ANKRD2	2.31536e-06	1.337191e-06	1.4920577e-05	7.833954e-06
10	ANKRD22	1.1591155e-06	6.7171e-07	4.722271e-06	2.203387e-06
10	ANKRD26	7.7589705e-06	1.301257e-06	3.8739236e-05	1.6542399e-05
10	ANKRD30A	5.6504975e-06	3.74363e-07	3.1793333e-05	1.3304915e-05
10	ANTXRL	2.3073005e-06	7.40892857142857e-12	1.8419418e-05	7.977173e-06
10	ANXA11	2.65924925e-06	4.0719e-07	1.7295854e-05	8.159589e-06
10	ANXA7	3.1130175e-06	1.03e-09	1.3944751e-05	4.777021e-06
10	ANXA8	2.80612825e-06	7.40892857142857e-12	2.2695844e-05	1.0978462e-05
10	ANXA8L1	1.3885625e-06	1.06e-09	1.1419755e-05	5.532475e-06
10	AP3M1	1.664425e-06	2.712679e-06	8.956162e-06	4.341297e-06
10	APBB1IP	2.4376945e-06	1.977177e-06	1.9925915e-05	1.1827871e-05
10	ARHGAP12	4.40896075e-06	2.570756e-06	1.9751699e-05	8.251202e-06
10	ARHGAP19	2.80314675e-06	4.8042e-07	1.3847947e-05	5.481275e-06
10	ARHGAP21	1.0034444e-05	3.777823e-06	5.1525065e-05	2.2806643e-05
10	ARHGAP22	2.82440875e-06	2.39638e-06	2.927672e-05	1.5919058e-05
10	ARID5B	3.827849e-06	2.501503e-06	3.2629603e-05	1.6764588e-05
10	ARL3	9.5582225e-07	2.566647e-06	2.199893e-06	2.043794e-06
10	ARL5B	1.2095665e-06	2.211313e-06	2.347939e-06	1.611836e-06
10	ARMC3	4.31879825e-06	3.019325e-06	2.0216721e-05	9.640717e-06
10	ARMC4	4.174313e-06	8.633713e-06	2.2433942e-05	1.1829331e-05
10	ARMS2	4.4638525e-07	7.40892857142857e-12	2.795251e-06	1.234426e-06
10	AS3MT	1.35338375e-06	2.6643e-07	1.0006981e-05	4.204154e-06
10	ASAH2	3.92033225e-06	3.605274e-06	1.7246623e-05	8.236602e-06
10	ASAH2B	9.054965e-07	4.43811e-07	4.863968e-06	2.025702e-06
10	ASB13	1.1036815e-06	2.22367e-06	1.0110146e-05	7.443995e-06
10	ASCC1	2.567572e-06	1.348897e-06	1.0128965e-05	4.683378e-06
10	ATAD1	1.90852025e-06	9.002056e-06	1.026426e-06	3.468698e-06
10	ATE1	3.6917385e-06	3.101282e-06	1.4051723e-05	7.937051e-06
10	ATOH7	6.54096e-07	6.88201e-06	2.526855e-06	5.216832e-06
10	ATP5C1	1.72322225e-06	2.555545e-06	5.70331e-06	3.561858e-06
10	ATRNL1	7.2893945e-06	3.696836e-06	3.2990329e-05	1.5000511e-05
10	AVPI1	5.152e-07	7.40892857142857e-12	5.507177e-06	2.129343e-06
10	BAG3	2.518537e-06	5.971571e-06	1.4134374e-05	9.681561e-06
10	BAMBI	1.3192125e-06	1.461653e-06	6.569872e-06	3.576602e-06
10	BBIP1	7.0508275e-07	1.2656e-07	3.958714e-06	1.128851e-06
10	BCCIP	1.5487845e-06	4.28872e-07	1.0669558e-05	5.374324e-06
10	BEND7	2.37634225e-06	4.149e-08	1.3730338e-05	5.976214e-06
10	BICC1	4.8133935e-06	1.2608e-06	2.6820032e-05	1.2051737e-05
10	BLNK	3.16449625e-06	1.39626e-06	1.1684172e-05	6.097946e-06
10	BLOC1S2	1.01280475e-06	1.0277e-07	4.565667e-06	2.241481e-06
10	BMI1	1.780266e-06	1.252878e-06	6.784401e-06	2.906107e-06
10	BMPR1A	3.05804325e-06	9.984347e-06	6.571306e-06	5.760824e-06
10	BMS1	6.432164e-06	7.36498e-07	3.5557362e-05	1.4244785e-05
10	BNIP3	1.017906e-06	1.822493e-06	9.025803e-06	5.715979e-06
10	BORCS7	6.95442e-07	7.40892857142857e-12	3.762083e-06	1.887825e-06
10	BTAF1	9.62321e-06	2.3540229e-05	2.3706955e-05	1.8042223e-05
10	BTBD16	2.29730075e-06	7.40892857142857e-12	1.5378769e-05	7.147984e-06
10	BTRC	4.79672625e-06	2.457549e-06	1.4736414e-05	6.640956e-06
10	BUB3	2.019498e-06	4.31501e-06	6.631927e-06	4.917279e-06
10	C10orf10	8.8293e-07	1.807e-08	7.1745e-06	2.765693e-06
10	C10orf105	3.7473825e-07	7.40892857142857e-12	5.841615e-06	2.564822e-06
10	C10orf107	1.16294375e-06	2.03843e-07	4.777822e-06	2.130318e-06
10	C10orf111	4.4339875e-07	7.40892857142857e-12	4.714616e-06	2.213114e-06
10	C10orf113	4.726845e-07	7.40892857142857e-12	4.744189e-06	1.505155e-06
10	C10orf120	1.99632675e-06	8.299e-08	1.0008134e-05	3.470794e-06
10	C10orf126	8.2210325e-07	7.40892857142857e-12	4.808816e-06	2.271591e-06
10	C10orf128	1.00305925e-06	7.40892857142857e-12	5.420106e-06	2.610655e-06
10	C10orf142	4.0205075e-07	7.40892857142857e-12	5.178814e-06	2.115738e-06
10	C10orf25	7.7869725e-07	7.40892857142857e-12	4.181388e-06	1.719713e-06
10	C10orf35	7.2166125e-07	7.40892857142857e-12	4.139081e-06	1.564043e-06
10	C10orf53	5.513785e-07	1.7212e-07	4.78338e-06	2.352837e-06
10	C10orf55	5.15067e-07	6.523e-08	4.760213e-06	1.643353e-06
10	C10orf62	5.3033025e-07	7.40892857142857e-12	6.805346e-06	2.902872e-06
10	C10orf67	1.3179915e-06	7.40892857142857e-12	7.079312e-06	2.622097e-06
10	C10orf71	4.030916e-06	1.8495e-07	4.4014885e-05	2.1198192e-05
10	C10orf76	3.1757635e-06	1.625575e-06	1.7332704e-05	7.083505e-06
10	C10orf82	7.968095e-07	3.181e-08	6.563696e-06	3.235618e-06
10	C10orf88	1.4467235e-06	1.5771e-07	1.1998817e-05	5.368248e-06
10	C10orf90	3.28209725e-06	1.908e-08	2.6198873e-05	1.126535e-05
10	C10orf91	5.2457625e-07	7.40892857142857e-12	5.343926e-06	2.751602e-06
10	C10orf95	1.23463125e-06	7.40892857142857e-12	1.7899215e-05	8.861785e-06
10	C10orf99	4.825165e-07	7.40892857142857e-12	2.196948e-06	7.34295e-07
10	C1QL3	6.739255e-07	3.300881e-06	8.891846e-06	7.755952e-06
10	CACNB2	3.81928175e-06	1.3747672e-05	1.2769189e-05	1.1290399e-05
10	CACUL1	1.669405e-06	1.359541e-06	1.0375131e-05	6.285734e-06
10	CALHM1	1.00439025e-06	1.1758e-07	1.5933652e-05	8.203452e-06
10	CALHM2	7.9122075e-07	1.2443e-07	1.3053076e-05	6.199749e-06
10	CALHM3	8.8773425e-07	1.1718e-07	1.4636289e-05	7.208592e-06
10	CALML3	4.9767675e-07	3.070893e-06	5.008119e-06	4.45662e-06
10	CALML5	3.413825e-07	1.147565e-06	6.3246e-06	5.074054e-06
