chr	gene	lof	Dmis	Tmis	syn
10	A1CF	0	0	0	0
10	ABCC2	0	1	0	0
10	ABI1	0	0	0	0
10	ABLIM1	0	0	0	0
10	ABRAXAS2	0	0	0	0
10	ACADSB	0	0	0	0
10	ACBD5	0	0	0	0
10	ACBD7	0	0	0	0
10	ACSL5	0	0	0	0
10	ACSM6	0	0	0	0
10	ACTA2	0	0	0	0
10	ACTR1A	0	0	0	0
10	ADAM12	0	0	0	0
10	ADAM8	0	0	0	0
10	ADAMTS14	0	0	1	0
10	ADARB2	0	0	0	0
10	ADD3	0	0	1	0
10	ADGRA1	0	0	0	0
10	ADIRF	0	0	0	0
10	ADK	0	0	0	0
10	ADO	0	0	0	0
10	ADRA2A	0	0	1	0
10	ADRB1	0	0	0	0
10	AFAP1L2	0	0	0	1
10	AGAP11	0	0	0	0
10	AGAP4	0	0	0	0
10	AGAP5	0	0	0	0
10	AGAP6	0	0	0	0
10	AGAP9	0	0	0	0
10	AIFM2	0	0	0	0
10	AKR1C1	0	0	0	0
10	AKR1C2	0	1	1	1
10	AKR1C3	0	0	0	0
10	AKR1C4	0	0	0	0
10	AKR1E2	0	0	0	0
10	ALDH18A1	0	0	1	0
10	ALOX5	0	0	0	0
10	ANAPC16	0	0	0	0
10	ANK3	0	1	1	2
10	ANKRD1	0	0	0	0
10	ANKRD16	0	0	0	0
10	ANKRD2	0	0	0	0
10	ANKRD22	0	0	0	0
10	ANKRD26	0	0	0	0
10	ANKRD30A	0	0	0	0
10	ANTXRL	0	0	0	0
10	ANXA11	0	0	0	0
10	ANXA7	0	0	0	0
10	ANXA8	0	0	0	0
10	ANXA8L1	0	0	0	0
10	AP3M1	0	0	0	0
10	APBB1IP	0	0	0	1
10	ARHGAP12	0	0	0	0
10	ARHGAP19	0	0	0	0
10	ARHGAP21	0	0	1	0
10	ARHGAP22	0	0	0	1
10	ARID5B	1	0	1	0
10	ARL3	0	0	0	0
10	ARL5B	0	0	0	0
10	ARMC3	0	0	1	1
10	ARMC4	0	0	0	0
10	ARMS2	0	0	0	0
10	AS3MT	0	0	0	0
10	ASAH2	1	0	0	0
10	ASAH2B	0	0	0	0
10	ASB13	0	0	0	0
10	ASCC1	0	0	0	0
10	ATAD1	0	0	1	0
10	ATE1	0	0	0	0
10	ATOH7	0	0	0	0
10	ATP5C1	0	0	0	0
10	ATRNL1	0	0	2	0
10	AVPI1	0	0	0	0
10	BAG3	0	0	0	0
10	BAMBI	0	0	0	0
10	BBIP1	0	0	0	0
10	BCCIP	0	0	1	0
10	BEND7	0	0	0	0
10	BICC1	0	0	1	1
10	BLNK	0	0	0	0
10	BLOC1S2	0	0	0	0
10	BMI1	0	0	0	0
10	BMPR1A	0	1	0	0
10	BMS1	0	0	0	0
10	BNIP3	0	0	0	0
10	BORCS7	0	0	0	0
10	BTAF1	1	0	0	1
10	BTBD16	0	0	0	0
10	BTRC	1	0	0	0
10	BUB3	0	0	0	0
10	C10orf10	0	0	0	0
10	C10orf105	0	0	0	0
10	C10orf107	0	0	0	0
10	C10orf111	0	0	0	0
10	C10orf113	0	0	0	0
10	C10orf120	0	0	0	0
10	C10orf126	0	0	0	0
10	C10orf128	0	0	0	0
10	C10orf142	0	0	0	0
10	C10orf25	0	0	0	0
10	C10orf35	0	0	0	0
10	C10orf53	0	0	1	0
10	C10orf55	0	0	0	0
10	C10orf62	0	0	0	0
10	C10orf67	0	0	0	0
10	C10orf71	0	0	1	0
10	C10orf76	0	0	0	0
10	C10orf82	0	0	0	0
10	C10orf88	0	0	0	0
10	C10orf90	1	0	0	1
10	C10orf91	0	0	0	0
10	C10orf95	0	0	0	0
10	C10orf99	0	0	0	0
10	C1QL3	0	0	0	0
10	CACNB2	0	0	0	0
10	CACUL1	0	0	0	0
10	CALHM1	0	0	0	0
